,EI.BHN10/K,0,1,2,3,4
0,0.329621350258026,,,,,
1,0.0,-0.3130946159362793,-0.25942128896713257,-0.1460099220275879,-0.2394751012325287,-0.214089035987854
2,0.0,-0.19923774898052216,-0.20405550301074982,-0.23995862901210785,-0.20187954604625702,-0.22895799577236176
3,0.0010000000000000009,-0.35310789942741394,-0.5786811113357544,-0.5192052125930786,-0.45513564348220825,-0.6486740708351135
4,0.0026180339999999913,-0.5997152924537659,-0.05417969822883606,-0.06322251260280609,-0.07651017606258392,-0.05003775656223297
5,0.0010000000000000009,-0.09455721080303192,-0.3642294108867645,-0.4927311837673187,-0.6230462193489075,-0.542777955532074
6,0.0020000000000000018,-0.10525937378406525,-0.21553966403007507,-0.13852354884147644,-0.11201254278421402,-0.18888288736343384
7,0.0010000000000000009,-0.1751450151205063,-0.36531737446784973,-0.4777413010597229,-0.42684832215309143,-0.46069642901420593
8,0.0020000000000000018,-0.5663507580757141,-0.25277256965637207,-0.1294807344675064,-0.18760943412780762,-0.17792345583438873
9,-0.0006180339999999895,-0.10052572935819626,-0.0708760991692543,-0.07100473344326019,-0.10633987933397293,-0.10258383303880692
10,0.0010000000000000009,-0.0733586922287941,-0.39275848865509033,-0.6057595610618591,-0.5592184662818909,-0.49925902485847473
11,0.00038196602515599976,-0.6466190218925476,-0.5056660175323486,-0.32905158400535583,-0.398802787065506,-0.41669392585754395
12,0.0013819660000000122,-0.31684210896492004,-0.5600646734237671,-0.495269775390625,-0.34766802191734314,-0.4599710702896118
13,0.0009734802474462567,-0.3943299949169159,-0.47822484374046326,-0.5646583437919617,-0.4918850064277649,-0.5166666507720947
14,0.0011358319490413216,-0.6345304250717163,-0.5200514197349548,-0.3373927175998688,-0.5819450616836548,-0.5692520141601562
15,0.0012716638980826422,-0.3184136152267456,-0.4811261296272278,-0.5097761154174805,-0.34525030851364136,-0.5710653066635132
16,0.0011358319490413216,-0.4371236264705658,-0.49140143394470215,-0.675994336605072,-0.568164050579071,-0.4141553044319153
17,0.0021358319490413225,-0.5312938094139099,-0.1700512021780014,-0.09153436124324799,-0.18158946931362152,-0.052237361669540405
18,-0.00048220205095866886,-0.11093202978372574,-0.10823076963424683,-0.08296748995780945,-0.14685888588428497,-0.09711698442697525
19,0.0011358319490413216,-0.1140320673584938,-0.5107432007789612,-0.6429924368858337,-0.4752027094364166,-0.3856262266635895
20,0.0005177979741973204,-0.5040944814682007,-0.4580368995666504,-0.4888628125190735,-0.4148806035518646,-0.3809116780757904
21,0.001517797949041333,-0.31430351734161377,-0.5221064686775208,-0.3851426839828491,-0.2829940617084503,-0.5242823958396912
22,0.0008795076735947926,-0.36060282588005066,-0.5755380988121033,-0.6653563380241394,-0.5236780047416687,-0.44522300362586975
