,ETL.GSBHN10/KICK,0,1,2,3,4,5
0,-0.34296802575757573,,,,,,
1,0.0,6.53437047267244,6.830155942553565,6.595573294659456,,,
2,0.0,6.524951548732463,6.775681674977144,6.765809624677613,,,
3,0.0010000000000000009,0.34860511387565307,0.3785373712845501,0.6603697919952017,,,
4,-0.0016180339999999904,0.05283020685745734,0.04502584210134999,0.02178339910437682,,,
5,0.0,6.939376837440899,6.734159508773259,7.043706936140855,,,
6,-0.0006180339748440011,4.953040830932912,4.274416976599467,3.104307918818224,,,
7,0.00038196600000001135,3.9419716918752306,4.313454065933114,5.053785588485854,,,
8,-0.0001162891962251944,7.305573881594908,7.024873766799768,6.555103503664335,,,
9,-0.0002325783924603808,7.249337115599996,7.207998083389941,6.255828477442265,,,
10,-0.0004651567849207616,6.438794419949963,5.951922206083934,4.388718796166636,,,
11,-0.0002325783924603808,7.3090366900676775,7.196921356235232,6.516216134315445,,,
12,0.0007674216075396201,0.6625461036694191,0.9849094574827524,2.5175858002688205,,,
13,-0.0018506123924603712,0.009820476378046719,0.01702923022862056,0.006415823205357118,,,
14,-0.0002325783924603808,7.3959241317851205,7.049806123830023,6.4077699109202335,,,
15,-0.0008506123673043819,3.031350449366229,2.131536041466253,2.0744591761025646,2.5717855524271727,2.259555966495758,
16,0.00014938760753963054,6.521520750224591,5.753720348363831,5.917489051180226,5.958603947432268,5.887200646457218,
17,-0.00017992391771692873,6.9460502439311576,7.414460012387662,7.3274899002342,7.136145830367293,6.559085865460691,
18,-0.00012726944296342912,7.229966481313819,7.315214064220587,6.749604260992436,7.0067714329276765,7.465748147879328,
19,-2.1595856010969694e-05,6.928151583742528,7.05179450284867,7.227186094863074,7.051549394286814,6.7445777077050435,6.897454261141164
