,ITH.DHZ10/K,Linac3 ITF.DHZ02,0,1
0,-0.0006202475430412267,2.4000000953674316,6.116351872126262,6.250540343364079
1,0.0,0.0,6.241948920488357,5.684901728153228
2,0.0,0.0,5.857249643325805,6.127892354011536
3,0.0005,0.0,4.931175176541011,4.535176835854848
4,-0.0008090169999999999,0.0,1.2596104518969853,1.3207586821317672
5,0.0,0.0,6.224085088888804,6.304814688444138
6,-0.000309016987422,0.0,5.021949656645457,5.530301968574524
7,0.00019098300000000004,0.0,5.9363534261385595,5.89260052037239
8,4.427734313610884e-06,0.0,6.090657178243001,6.252224860350291
9,-0.00011803398261763171,0.0,5.322874042352041,6.2624886775811515
10,-4.508496820452635e-05,0.0,6.1094524689515435,5.629402554432551
11,-1.7220924965210085e-05,0.0,6.18224521223704,5.983432493686676
12,-4.992526205920629e-06,0.0,5.873545861403147,6.162920340299606
13,-1.9069752647706125e-06,0.0,6.078960483153661,6.046526117960612
14,1.6912439648326645e-06,0.0,6.149793882926305,5.938098906040191
15,-7.283997139833449e-07,0.0,6.088765548944473,5.793885248104731
16,6.45997692271319e-07,0.0,6.420646637598674,5.695668127298355
17,-2.7822392515135675e-07,0.0,6.345795578241348,6.12955123480161
18,2.467491545261446e-07,0.0,5.71818696808815,5.79003974588712
19,-1.0627207979439258e-07,0.0,6.085596666097641,6.3070325610637665
20,9.424978755767904e-08,0.0,6.3420975037415825,6.422951927582423
21,9.424978755767904e-08,0.0,6.305329457441966,6.670964069922765
22,9.424978755767904e-08,2.0,5.384906692107519,5.330842618783315
23,9.424978755767904e-08,-3.236068,5.098244777282079,5.004370126883189
24,9.424978755767904e-08,0.0,6.102957852760951,6.4348231283028925
25,9.424978755767904e-08,-1.236067949688,6.559800463120142,5.648869468212128
26,9.424978755767904e-08,0.763932,6.128491897662481,5.988598638931911
27,9.424978755767904e-08,-0.29211772494065436,6.163252318064372,6.734832025051117
28,9.424978755767904e-08,-0.5842354499013087,6.222042815844218,6.073834612369537
29,1.8849957511535807e-07,-0.5842354498813087,6.549619793971379,6.019464966932932
30,9.424978755767904e-08,-0.29211772494065436,5.918384417851766,6.656986053307851
31,1.8849957511535807e-07,-0.5842354498813087,6.306068898042043,6.265815258900324
32,-5.8249573203403814e-08,0.18053868601597234,6.2126283268133795,6.419229135115941
33,-3.04998723893099e-07,0.9453128292617667,6.205699739297231,6.329942726532618
34,-5.8249573203403814e-08,0.18053868601597234,6.092355270862579,6.145314354101817
35,-5.8249573203403814e-08,0.18053868601597234,6.489328992923101,6.120887887001038
36,-5.8249573203403814e-08,2.1805386860159723,5.482072594483694,5.38977641026179
37,-5.8249573203403814e-08,-3.0555293139840276,5.343773007154465,5.035012637217839
38,-5.8249573203403814e-08,0.18053868601597234,6.486134884516398,5.940870260477066
39,-5.8249573203403814e-08,-1.0555292636720277,5.698793687184652,6.3260542182127635
40,-5.8249573203403814e-08,0.9444706860159724,5.92954211862882,6.12955120197932
41,-5.8249573203403814e-08,-0.03431037343696497,6.5752691118717195,6.092674205064774
42,-5.8249573203403814e-08,-0.42438126806449095,6.553536615133286,6.631034749031067
43,-5.8249573203403814e-08,-0.42438126806449095,6.371888869921366,6.18567990342776
44,-2.1074893396448666e-07,0.04827514289213575,6.621797806580862,6.150826485872269
45,-4.5749808465418186e-07,0.8130492861379301,5.874220861991247,6.036925420840581
46,-2.1074893396448666e-07,0.04827514289213575,6.590569695631663,-0.010061876819900742
