,ITH.DHZ10/K,Linac3 ITF.DHZ02,0,1,2
0,-0.0006202475430412267,1.899999976158142,8.506424864926402,8.645948824086254,8.806647909717231
1,0.0,0.0,6.8945293564662755,6.506790127115457,7.006407684626238
2,0.0,0.0,6.7720163826630495,6.793882756144087,6.724192021494714
3,0.00010000000000000005,0.0,6.727983272929801,6.770571856186769,6.385062528770661
4,-0.0001618034,0.0,5.799521949506623,6.750779584486536,6.73921189478996
5,0.0,0.0,6.4497899677151835,6.15668377460349,6.671988595014792
6,-6.180339748440003e-05,0.0,7.034995954133269,6.480619087768864,6.844146762384432
7,-6.180339748440003e-05,0.0,6.789977401662096,7.126913363911281,6.860321851979906
8,-6.180339748440003e-05,0.5,6.527252125294409,6.286241386315533,6.6997325426321535
9,-6.180339748440003e-05,-0.8090169999999999,6.842482186106507,6.699601944807534,6.824614878458397
10,-6.180339748440003e-05,0.0,6.972094494605733,6.617090474259445,6.258501364360346
11,-6.180339748440003e-05,-0.3090169874219999,6.585799734763267,6.722883286357297,6.753415023426401
