,ETL.GSBHN10/KICK,0,1,2
0,-0.3431396216135867,,,
1,0.0,8.745827675735196,8.629893130121213,8.88240292465847
2,0.0,8.527268983443731,8.849379955784144,8.463671797022023
3,0.0010000000000000009,0.6792482919061481,0.6765050859460446,0.6473003882821828
4,-0.0016180339999999904,0.010306317783305218,0.013302949079143514,0.020261295569312682
5,0.0,8.557444565721758,8.792819353120112,8.525454598562273
6,-0.0006180339748440011,3.2330738184776964,2.9609222734157505,3.3234443856063596
7,0.00038196600000001135,6.792649666544572,6.540224880540668,6.9183152220299515
8,1.6438755222392132e-05,8.429726056036703,8.599529446384041,8.547523329948968
9,-1.924122538871087e-05,8.648936574930422,8.706083382754775,8.76402532820967
10,-0.00024795969672714024,7.639739375379859,7.764463727030324,8.03677007859133
11,-0.00010660390501199268,8.345625112015547,8.312097553328224,8.507410502067684
12,-5.261079867369123e-05,8.506424864926402,8.645948824086254,8.806647909717231
