,ETL.GSBHN10/KICK,0,1,2,3
0,-0.3428832031564482,,,,
1,0.0,-1.8287627696990967,-1.8146191835403442,-1.8100254535675049,-1.7759356498718262
2,0.0,-1.849797010421753,-1.71319580078125,,
3,0.0010000000000000009,-0.3758344352245331,-0.737525224685669,,
4,-0.0016180339999999904,-0.48475268483161926,-0.10210789740085602,,
5,0.0,-1.6963926553726196,-1.8160697221755981,,
6,-0.0006180339748440011,-1.740516185760498,-0.9143813848495483,,
7,0.00038196600000001135,-1.5495163202285767,-1.6707648038864136,,
8,1.329726815152421e-05,-1.5139758586883545,-1.7417248487472534,,
9,-0.00023606796523528706,-1.5417795181274414,-1.339174747467041,,
10,-9.01699364090347e-05,-1.5051510334014893,-1.632081389427185,,
11,-3.4441849930400004e-05,-1.7413623332977295,-1.6810401678085327,,
12,-1.4374068000644336e-05,-1.645137071609497,-1.8725887537002563,,
