,parameters,parameters,observable,observable,observable,observable,observable
,ER.GSECVGUN/Setting#amplitudesPoint1,intensity,0,1,2,3,4
0,2488.2,,,,,,
1,0.0,1.7251635789871216,-1.7540552616119385,-1.766264796257019,-1.7251635789871216,,
2,0.0,1.805069088935852,-1.805069088935852,-1.883779525756836,-1.842746615409851,,
3,0.0010000000002037268,1.7610667943954468,-1.8400052785873413,-1.7610667943954468,-1.9198386669158936,,
4,-0.001618033999875479,1.779803991317749,-1.7293944358825684,-1.8033767938613892,-1.8651281595230103,-1.779803991317749,-1.8097838163375854
5,0.0,1.62083899974823,-1.8416975736618042,-1.62083899974823,-1.5561649799346924,-1.7769027948379517,-1.818850040435791
6,-0.0006180339746606478,1.6629072427749634,-1.7775070667266846,-1.7472856044769287,-1.6629072427749634,-1.7946730852127075,-1.644049048423767
